bebida,descripcion,precio
Sake ,Vino de arroz japonés con burbujas,24.40
Kombucha,Bebida fermentada con un toque ácido y ligeramente gaseosa,18.00
Soju,Bebida alcohólica tradicional coreana ,28.50
Zumo de Guayaba,Jugo de guayaba fresca ,16.00
Horchata Japonesa ,Bebida refrescante hecha con arroz y canela,12.50
Limonada,Refrescante limonada con un toque de jengibre fresco, 12.50
Asahi,Cerveza ligera y refrescante de origen japonés,22.00
Te helado ,Bebida refrescante a base de té servida frío con hielo,7.00
Expresso ,Café concentrado y fuerte,6.50
Bubble Tea ,Té dulce con leche que contiene bolas de tapioca, 16.50
