Postres,Descripción,Precio
Mochi,Dulce de arroz japonés relleno de helado , 8.50
Dorayaki ,Pancake japonés relleno de pasta de frijoles dulces,12.00
Cheesecake,Tarta de queso ligera y esponjosa,22.00
Pudding ,Postre cremoso a base de sésamo negro,16.50
Anmitsu, Postre japonés de gelatina de frutas y pasta dulce ,19.50
Taiyaki,Pastel japonés con forma de pez,14.00
Flan de Coco,Flan cremoso con sabor a coco tropical.,14.50
Tiramisú,Versión japonesa del tiramisú con matcha,22.00
Helado,Helado frito en masa tempura crujiente,24.00
Kasutera,Delicada textura esponjosísima y suave,22.00
